file,stem,produced_by,role,rows,columns,description
behavioral_scenarios.parquet,behavioral_scenarios,02b,analysis-table,4,scenario;eps_ext_men;eps_ext_single_mothers;eps_ext_other_women;eps_int;eta_income;passthrough;gross_cost_bn;net_cost_bn;recapture_pct;n_workers_mn;induced_workers_mn;induced_single_mothers_mn;induced_other_women_mn;induced_men_mn;avg_pct_return_gain;pct_income_above_grid;source,Reduced-form EITC/CBO-benchmark cost band + induced entry by cell.
by_age_bin.parquet,by_age_bin,02a,analysis-table,5,age_bin;n_workers_k;pct_of_recipients;pct_in_group;avg_annual_subsidy;avg_net_income_gain;gross_cost_mn,By 10-year age band.
by_education.parquet,by_education,02a,analysis-table,5,educ_group;n_workers_k;pct_of_recipients;pct_in_group;avg_annual_subsidy;avg_net_income_gain;gross_cost_mn,By education group.
by_family_type.parquet,by_family_type,02a,analysis-table,4,family_type;family_type_key;n_workers_k;pct_workers;avg_annual_subsidy;avg_net_income_gain,By married/single x children.
by_race_ethnicity.parquet,by_race_ethnicity,02a,analysis-table,4,race_ethnicity;n_workers_k;pct_of_recipients;pct_in_group;avg_annual_subsidy;avg_net_income_gain;gross_cost_mn,By race/ethnicity.
by_sex.parquet,by_sex,02a,analysis-table,2,sex_label;n_workers_k;pct_of_recipients;pct_in_group;avg_annual_subsidy;avg_net_income_gain;gross_cost_mn,"Eligible workers, cost, avg subsidy by sex."
by_state.parquet,by_state,02a,analysis-table,51,state_code;n_workers_k;pct_in_group;gross_cost_mn;net_cost_mn;avg_annual_subsidy,"By state: workers, gross/net cost, avg subsidy (choropleth source)."
by_wage_bracket.parquet,by_wage_bracket,02a,analysis-table,4,wage_bracket;wage_min;wage_max;n_workers_k;pct_workers;avg_hourly_subsidy;avg_annual_subsidy,By employer-wage band; avg subsidy (progressivity).
entrant_hours_sensitivity.parquet,entrant_hours_sensitivity,02d,analysis-table,3,hours_mode;mean_entry_hours;induced_M;entry_fte_M;entrant_gross_bn;entrant_net_bn;marginal_gross_per_job;marginal_net_per_job,"PI-3: entry FTE, entrant gross/net, marginal $/job under 3 entrant-hours mappings (rank / independent / median), central edge."
entry_central_composition.parquet,entry_central_composition,02g,analysis-table,4,prior_status;entrants_M,"Evidence-central entrants by prior labor-force status (fig07b source); reflects the headline, not the floor."
entry_central_stress.parquet,entry_central_stress,02g,analysis-table,3,variant;induced_M;entrant_gross_bn;entrant_net_bn,Coordination/take-up stress tests computed on the evidence-central pool (spouse-employed zeroed; take-up 0.80).
entry_headline_scenarios.parquet,entry_headline_scenarios,02g,analysis-table,3,scenario;penalty;lambda;eps_edge;note;induced_M;induced_single_mothers_M;induced_other_women_M;induced_men_M;entrant_gross_bn;entrant_net_bn,"Three jointly-specified entry bundles: conservative floor (0.83M), evidence-central (status-differentiated ~10% penalty), high joint corner."
entry_margin_band.parquet,entry_margin_band,02d,analysis-table,7,band_edge;variant;induced_M;induced_single_mothers_M;induced_other_women_M;induced_men_M;entrant_gross_bn;entrant_net_bn;cliff_payup_entrants_M;mean_entry_hours,Extensive-margin band (lower/central/upper) + household-coordination sensitivity rows.
entry_reconciliation.parquet,entry_reconciliation,02d,analysis-table,1,b02_central_induced_M;d02_central_induced_M;note,02b-vs-02d central induced-entry wedge attribution.
entry_scenario_grid.parquet,entry_scenario_grid,02g,analysis-table,27,penalty;lambda;eps_edge;pct_mpl_below_target;induced_M;induced_single_mothers_M;induced_other_women_M;induced_men_M;entrant_gross_bn;entrant_net_bn,Joint 27-cell decomposition of induced entry: penalty {0/10/20%} x offer-dispersion lambda {0.5/0.75/1.0} x eps edge {lower/central/upper}.
incidence_by_segment.parquet,incidence_by_segment,02c,deprecated,10,wage_band;incumbents_k;entrants_realized_k;wage_change_pct;absorption,Band-clearing incidence — 02c superseded by 02d; not regenerated.
incidence_decomposition.parquet,incidence_decomposition,02c,deprecated,6,step;eta_d;wage_change_pct;gross_cost_bn;net_cost_bn;worker_capture_pct,Band-clearing incidence decomposition — 02c superseded by 02d.
incumbent_hours_margin.parquet,incumbent_hours_margin,02d,analysis-table,3,eps_int_edge;eps_int;workers_below_cap_M;added_hours_bn;added_fte_M;added_subsidy_gross_bn;added_net_cost_bn,E5 intensive margin: added hours/FTE/cost for eligible incumbents below 40 hrs/wk over the eps_int band {0.05/0.20/0.33}.
matching_simulation.parquet,matching_simulation,02d,analysis-table,6,scenario;wage_mode;beta;entrant_source;induced_M;incumbent_wage_change_pct;gross_cost_bn;net_cost_bn;firm_capture_bn;firm_capture_pct_of_gross;entry_wage;induced_single_mothers_M;induced_other_women_M;induced_men_M;cliff_payup_entrants_M;mean_entry_hours;entrants_unemployed_M;entrants_nilf_other_M;entrants_disabled_M;entrants_retired_M,"Structural sim, 6 rows (wage_mode x beta): cost, firm capture, induced by cell, cliff pay-up, entry hours."
mpl_imputation_band.parquet,mpl_imputation_band,02f,analysis-table,9,variant;axis;label;pool_median_mpl;pct_mpl_below_target;induced_M;induced_single_mothers_M;induced_other_women_M;induced_men_M;entrant_gross_bn;entrant_net_bn,"MPL uncertainty, four axes: imputation variants (converged); offer-dispersion lambda {0.5,0.75,1.0}; uniform wage-penalty {0,10,20%}; status-mixture (left-skewed) penalties."
program_interactions.parquet,program_interactions,02a,analysis-table,17,program;key;avg_delta_per_worker;total_delta_mn;pct_of_gross_cost,Per-program tax/transfer deltas (waterfall source).
summary.parquet,summary,02a,analysis-table,1,gross_cost_bn;net_cost_bn;n_workers_mn;avg_annual_subsidy;n_records_raw,"Headline totals: gross/net cost, eligible workers, avg subsidy."
take_up_by_group.parquet,take_up_by_group,02e,analysis-table,20,dimension;group;recipients_k;base_k;share_of_recipients_pct;take_up_pct,Take-up rate: share of each group's hourly workers eligible.
nonemployed_pool.parquet,nonemployed_pool,01h,analysis-table,181960,YEAR;MONTH;SERIAL;PERNUM;cell;sex_label;educ_group;age_bin;family_type_key;state_code;spouse_linkable;spouse_is_employed;own_child_under5;mpl;entry_hours;g_net;ni_zero;net_gain_base;reservation_wage_lower;reservation_wage_central;reservation_wage_upper;required_net_gain_lower;required_net_gain_central;required_net_gain_upper;reservation_wage_estock;required_net_gain_estock;reservation_wage;is_unemployed;prior_status;emp_propensity;weight,"Non-employed pool: MPL, g_net, reservation band, entry hours, household flags, person keys."
nonemployed_pool_diagnostics.json,nonemployed_pool_diagnostics,01h,diagnostic,,(json diagnostics),"Heckman + band-calibration audit trail (JSON): IMR coef, MPL percentiles by variant, per-cell/edge target vs realized, g_net guards."
household_links.parquet,household_links,01i,analysis-table,665231,YEAR;MONTH;SERIAL;PERNUM;spouse_linkable;spouse_is_employed;spouse_earnweek;own_child_under5;hh_child_under5;child_under5_source;hh_other_nonemployed_adult,"In-ORG spouse links (employment/earnings) + child-under-5 flags, by person key."
